"Каталог";"Вендор";"Прайс-строка";"Привязанная карточка";"Розн. цена, грн.";"Розн. цена, USD";"Опт. цена, USD";"Гарантия";"Склад";"Ссылка";"Ссылка в каталоге";"Статус товара"
"Ноутбуки, ультрабуки";"Apple";"Apple MacBook Air 11"" (MJVM2) 2015";"MacBook Air 11"" (MJVM2) 2015";"21 199,00";"0";"0";"3 мес.";"Есть в наличии";"http://easybay.com.ua/p/apple-macbook-air-11-mjvm2-2015-1007";"https://hotline.ua/computer-noutbuki-netbuki/apple-macbook-air-11-mjvm2-2015";"Товар размещается"
"Смартфоны и мобильные телефоны";"Apple";"iPhone 5S 16 GB Gold";"iPhone 5S 16GB Gold";"6 049,00";"0";"0";"3 месяца";"Есть в наличии";"http://easybay.com.ua/p/iphone-5s-16-gb-gold-1070";"https://hotline.ua/mobile-mobilnye-telefony-i-smartfony/apple-iphone-5s-16gb-gold";"Товар размещается"
"Настольные компьютеры";"Apple";"Apple iMac 21.5"" (MK442) 2015";"iMac 21.5"" (MK442) 2015";"31 799,00";"0";"0";"3 мес.";"Есть в наличии";"http://easybay.com.ua/p/apple-imac-21-5-mk442-2015-1076";"https://hotline.ua/computer-nastolnye-kompyutery/apple-imac-215-mk442-2015";"Товар размещается"
"Настольные компьютеры";"Apple";"Apple iMac 21.5"" with Retina 4K display (MK452) 2015";"iMac 21.5"" with Retina 4K display (MK452) 2015";"33 195,00";"0";"0";"3 мес.";"Есть в наличии";"http://easybay.com.ua/p/apple-imac-21-5-with-retina-4k-display-mk452-2015-1077";"https://hotline.ua/computer-nastolnye-kompyutery/apple-imac-215-with-retina-4k-display-mk452-2015";"Товар размещается"
"Настольные компьютеры";"Apple";"Apple iMac 27"" with Retina 5K display (MK472) 2015";"iMac 27"" with Retina 5K display (MK472) 2015";"43 840,00";"0";"0";"3 месяца";"Есть в наличии";"http://easybay.com.ua/p/apple-imac-27-with-retina-5k-display-mk472-2015-1078";"https://hotline.ua/computer-nastolnye-kompyutery/apple-imac-27-with-retina-5k-display-mk472-2015";"Товар размещается"
"Настольные компьютеры";"Apple";"Apple iMac 27"" with Retina 5K display (MK482) 2015";"iMac 27"" with Retina 5K display (MK482) 2015";"44 280,00";"0";"0";"3 мес.";"Есть в наличии";"http://easybay.com.ua/p/apple-imac-27-with-retina-5k-display-mk482-2015-1079";"https://hotline.ua/computer-nastolnye-kompyutery/apple-imac-27-with-retina-5k-display-mk482-2015";"Товар размещается"
"Смартфоны и мобильные телефоны";"Apple";"Apple iPhone 6 Plus 64GB Space Gray (MGAH2)";"iPhone 6 Plus 64GB Space Gray (MGAH2)";"16 306,00";"0";"0";"3 месяца";"Есть в наличии";"http://easybay.com.ua/p/apple-iphone-6-plus-64gb-space-gray-mgah2-1080";"https://hotline.ua/mobile-mobilnye-telefony-i-smartfony/apple-iphone-6-plus-64gb-space-gray";"Товар размещается"
"Смартфоны и мобильные телефоны";"Samsung";"Samsung Galaxy J1 Mini White (SM-J105HZWD)";"Galaxy J1 Mini White (SM-J105HZWD)";"2 220,00";"0";"0";"12 мес.";"Есть в наличии";"http://easybay.com.ua/p/samsung-galaxy-j1-mini-white-sm-j105hzwd-1186";"https://hotline.ua/mobile-mobilnye-telefony-i-smartfony/samsung-j105h-galaxy-j1-mini-white";"Товар размещается"
"Смартфоны и мобильные телефоны";"Samsung";"Samsung Galaxy J1 Mini Gold (SM-J105HZDD)";"Galaxy J1 Mini Gold (SM-J105HZDD)";"2 220,00";"0";"0";"12 мес.";"Есть в наличии";"http://easybay.com.ua/p/samsung-galaxy-j1-mini-gold-sm-j105hzdd-1187";"https://hotline.ua/mobile-mobilnye-telefony-i-smartfony/samsung-j105h-galaxy-j1-mini-gold";"Товар размещается"
"Смартфоны и мобильные телефоны";"Samsung";"Samsung Galaxy J1 Mini Black (SM-J105HZKD)";"Galaxy J1 Mini Black (SM-J105HZKD)";"2 220,00";"0";"0";"12 мес.";"Есть в наличии";"http://easybay.com.ua/p/samsung-galaxy-j1-mini-black-sm-j105hzkd-1188";"https://hotline.ua/mobile-mobilnye-telefony-i-smartfony/samsung-j105h-galaxy-j1-mini-black";"Товар размещается"
